category,name
Plomería,Tubo clase 16 PPR 20 mm x 4 m
Plomería,Tubo clase 16 PPR 25 mm x 4 m
Plomería,Tubo clase 16 PPR 25 mm x 4 m
Plomería,Tubo clase 16 PPR 25 mm x 4 m
Plomería,Tubo clase 16 PPR 25 mm x 4 m
Plomería,Tubo clase 16 PPR 32 mm x 4 m
Plomería,Tubo clase 16 PPR 32 mm x 4 m
Plomería,Tubo clase 16 PPR 32 mm x 4 m
Plomería,Tubo clase 16 PPR 32 mm x 4 m
Plomería,"Tubo CPVC RD13.5 1/2"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 1/2"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 3/4"""" x 6.1 m"
Plomería,"Tubo CPVC RD13.5 1"""" x 6.1 m"
Plomería,"Tubo Cpvc Rd13.513 mm - 1/2"""" x 6.1 m"
Plomería,"Tubo Cpvc Rd13.513 mm - 1/2"""" x 6.1 m"
Plomería,"Tubo Cpvc Rd13.519 mm - 3/4"""" x 6.1 m"
Plomería,Tubo PPR 20 mm x 1 m
Plomería,Tubo PPR 25 mm x 1 m
Plomería,Tubo PPR 32 mm x 1 m
Plomería,Tubo PPR 20 mm  x 4 m
Plomería,Tubo PPR 20 mm  x 4 m
Plomería,Tubo PPR 25 mm x 4 m
Plomería,Tubo PPR 25 mm x 4 m
Plomería,"Red Bushing CPVC 3/4"""" x 1/2"""""
Plomería,"Cople CPVC 1/2"""""
Plomería,"Cople CPVC 1/2"""""
Plomería,"Cople C-40 1/2"""""
Plomería,"Cople CPVC 3/4"""""
Plomería,"Cople CPVC 3/4"""""
"Aseo, Baños y Cocinas","Válvula de Esfera Soldable 1/2"""""
Plomería,"Válvula de Pie con Canastilla/Resorte 3/4"""""
Plomería,Codo 45º de 20 mm
Plomería,Codo 45º de 25 mm
Plomería,Codo 45º de 32 mm
Plomería,Codo 90º de 20 mm
Plomería,Codo 90º de 25 mm
Plomería,Codo 90º de 32 mm
Plomería,"Codo 90º Rosca Hembra 20 mm  x 1/2"""""
Plomería,"Codo 90º Rosca Hembra 20 mm  x 1/2"""""
Plomería,"Codo 90º Rosca Hembra 25 mm x 1/2"""""
Plomería,"Codo 90º Rosca Hembra 25 mm x 1/2"""""
Plomería,"Codo 90º Rosca Hembra 25 mm x 3/4"""""
Plomería,"Codo 90º Rosca Hembra 32 mm x 3/4"""""
Plomería,"Codo 90º Rosca Macho 20 mm x 1/2"""""
Plomería,"Codo 90º Rosca Macho 20 mm x 1/2"""""
Plomería,"Codo 90º Rosca Macho 25 mm x 1/2"""""
Plomería,"Codo 90º Rosca Macho 25 mm x 1/2"""""
Plomería,"Codo 90º Rosca Macho 32 mm x 1/2"""""
Plomería,"Codo 90º Rosca Macho 32 mm x 1"""""
Plomería,Tee de 20 mm
Plomería,Tee de 20 mm
Plomería,Tee de 25 mm
Plomería,Tee de 25 mm
Plomería,Tee de 32 mm
Plomería,Tee de 32 mm
Plomería,"Tee con Rosca Central Hembra 20 mm x 1/2"""""
Plomería,"Tee con Rosca Central Hembra 20 mm x 1/2"""""
Plomería,"Tee con Rosca Central Hembra 25 mm x 3/4"""""
Plomería,"Tee con Rosca Central Macho 20 mm x 1/2"""""
Plomería,"Tee con Rosca Central Macho 25 mm x 3/4"""""
Plomería,Tee Reducida Central 25 X 25 X 20 mm
Plomería,Tee Reducida Central 25 X 25 X 20 mm
Plomería,Tee Reducida Central 32 X 32 X 20 mm
Plomería,Tee Reducida Central 32 X 32 X 20 mm
Plomería,Tee Reducida Central 32 X 32 X 25 mm
Plomería,Tee Reducida Extrema 25 X 20 X 20 mm
Plomería,Tee Reducida Extrema 32 X 20 X 20 mm
Plomería,Tee Reducida Extrema 32 X 20 X 20 mm
Plomería,Tee Reducida Extrema 25 X 20 X 25 mm
Plomería,Tee Reducida Extrema 25 X 20 X 25 mm
